DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	bar label
COLOR	#ff0000
SHOW_VALUE	1
LABEL_POSITION	left

DATA
OP581764.1	103
MT890229.1	8
MT872500.1	5
OQ050878.1	1
OQ050877.1	2
OL601929.1	5
OL548948.1	19
OL548959.1	84
OL914963.1	8
OP581627.1	52
MW504609.1	18
OQ521495.1	1
OQ051139.1	1
OM635146.1	1
OL351388.1	2
OP522557.1	46
OL601905.1	1
OQ051616.1	232
OQ521457.1	1
OQ051350.1	7
